index,value
0,92
1,13
2,0B
3,01
4,04
5,22
6,00
7,08
8,0B
9,11
10,01
11,08
12,09
13,00
14,FE
15,02
16,69
17,78
18,69
19,28
20,69
21,11
22,10
23,79
24,20
25,08
26,3C
27,3C
28,00
29,D8
30,83
31,05
32,80
33,00
34,CA
35,00
36,00
37,00
38,00
39,00
40,00
41,88
42 - 60,000000000000000000000000000000000000
60,0F
61,11
62,44
63,09
64,00
65,86
66,32
67,10
68,00
69,00
70,50
71,55
72,00
73,00
74,00
75,00
76,00
77 - 117,00000000000000000000000000000000000000000000000000000000000000000000000000000000
117,80
118,2C
119,00
120,00
121,00
122 - 126,00000000
126 - 128,ECA2
128 - 146,_36JSF2G72PZ-1G9P1
146,50
147,31
148,80
149,2C
150 - 176,0000000000000000000000000000000000000000000000000000
176 - 256,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
