index,value
0,92
1,12
2,0B
3,0B
4,04
5,21
6,02
7,19
8,0B
9,11
10,01
11,08
12,0A
13,00
14,FE
15,00
16,69
17,78
18,69
19,30
20,69
21,11
22,18
23,81
24,20
25,08
26,3C
27,3C
28,00
29,F0
30,83
31,05
32,80
33,00
34,00
35,00
36,00
37,00
38,00
39,00
40,00
41,85
42 - 60,000000000000000000000000000000000000
60,10
61,33
62,01
63,89
64,22
65,04
66,B3
67,50
68,50
69,00
70,00
71,00
72,12
73,F6
74,99
75,00
76,00
77,85
78,11
79,F6
80,99
81,00
82,00
83,8D
84,11
85,F6
86,99
87,00
88,00
89,8D
90,41
91,49
92,46
93,4F
94,00
95,00
96 - 102,000000000000
102,00
103,20
104,E0
105,01
106,21
107,20
108,01
109,FF
110,00
111,00
112,00
113,00
114,00
115,00
116,00
117,80
118,2C
119,00
120,00
121,00
122 - 126,00000000
126 - 128,B9DD
128 - 146,36KSZ2G72LD1G6E2A7
146,45
147,32
148,80
149,2C
150 - 176,0000000000000000000000000000000000000000000000000000
176 - 256,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
